businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
"科技园,科技园,大冲,西丽,大冲,西丽",深圳,深圳无觅科技有限公司,3058,"高速增长,股票期权,小而精,扁平管理",image1/M00/00/08/Cgo8PFTUWA-AYf6JAAArDABWKnw635.png,无秘,150-500人,2018-06-19 19:13:13,0,南山区,本科,,B轮,开发/测试/运维类,2018-06-19,,,today,"移动互联网,金融",,0,全职,1529670833000,22.553261,1号线/罗宝线_高新园,113.95208500000001,0,,"高速发展,技术牛人,待遇丰厚",3444177,"数据挖掘,NLP,算法,深度学习,自然语言处理",机器学习工程师,,2770406,1,17,25k-50k,0,数据开发,高新园,1号线/罗宝线,3-5年
"坂田,万科城",深圳,北京通力互联技术服务有限公司,123777,"绩效奖金,交通补助,定期体检,通讯津贴",i/image/M00/2E/03/CgqKkVc9jmCAI8DpAAD09YLPnBk157.png,通力互联,2000人以上,2018-05-25 17:43:44,0,龙岗区,本科,,不需要融资,开发/测试/运维类,2018-05-25,,,today,"电子商务,企业服务",,0,全职,1529680153000,22.642567,,114.074844,0,,"福利好,美女多,双休,工资高",4630947,"数据挖掘,python",算法工程师、机器学习,,10901974,1,2,13k-25k,0,数据开发,,,3-5年
"车公庙,香蜜湖,沙头",深圳,深圳智通财经信息科技服务有限公司,108171,"股票期权,弹性工作,节日礼物,扁平管理",i/image/M00/83/E6/CgqKkVhbMZGAdQUiAAAivzNLY1k175.png,智通财经,50-150人,2018-06-12 15:31:28,0,福田区,本科,,A轮,开发/测试/运维类,2018-06-12,,,sevenDays,"金融,移动互联网",,0,全职,1529373239000,22.53477,1号线/罗宝线_车公庙;1号线/罗宝线_竹子林;11号线/机场线_车公庙;7号线_农林;7号线_车公庙;9号线_下沙;9号线_车公庙,114.02226,0,,团队成熟,4612531,深度学习,自然语言处理/机器学习,,4684057,0,0,20k-40k,0,数据开发,农林,7号线,3-5年
"科技园,南山医院,南头",深圳,深圳市华宇讯科技有限公司,56,"技能培训,股票期权,五险一金,弹性工作",image1/M00/00/01/Cgo8PFTUV_OAKttlAAAKkXE4Ypk062.png,卖座网,500-2000人,2018-06-22 10:56:33,0,南山区,本科,,B轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,电子商务",,0,全职,1529679135000,22.548779999999997,1号线/罗宝线_深大,113.9422,0,,福利待遇、发展前景,3949516,"数据挖掘,深度学习,推荐,人工智能",机器学习算法工程师,,2651482,2,100,18k-35k,0,数据开发,深大,1号线/罗宝线,3-5年
"岗厦,岗厦,皇岗,皇岗",深圳,马上消费金融股份有限公司,136443,"股票期权,年终分红,绩效奖金,带薪年假",i/image/M00/3D/D2/Cgp3O1dzLwmACOhFAAAst6OkilQ904.jpg,马上金融,2000人以上,2018-06-22 18:29:39,0,福田区,硕士,,不需要融资,金融类,1天前发布,,,today,"金融,移动互联网","金融,建模,算法",0,全职,1529663362000,22.539226,2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;3号线/龙岗线_购物公园;3号线/龙岗线_福田;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;11号线/机场线_福田,114.06589299999999,0,,部门风控技术先进，学习发展机会多,3747910,"金融,建模,算法",机器学习模型师,,8924825,0,0,15k-30k,0,风控,岗厦,2号线/蛇口线,1-3年
"科技园,大冲,科技园",深圳,深圳无觅科技有限公司,3058,"高速增长,股票期权,小而精,扁平管理",image1/M00/00/08/Cgo8PFTUWA-AYf6JAAArDABWKnw635.png,无秘,150-500人,2018-06-11 14:27:20,0,南山区,硕士,,B轮,技术,2018-06-11,,,overSevenDays,"移动互联网,金融",,0,全职,1529026584000,22.55326867,1号线/罗宝线_高新园,113.95183069,0,,相信技术创新，大数据风控,1545051,,机器学习,,4338392,0,0,25k-50k,0,后端开发,高新园,1号线/罗宝线,3-5年
,深圳,深圳白骑士大数据有限公司,128065,"专项奖金,大数据,反欺诈,带薪年假",i/image/M00/3D/89/Cgp3O1dyQFiAS337AAAJ8SnzRcM883.png,深圳白骑士大数据有限公司,50-150人,2018-06-20 09:16:34,0,南山区,本科,,A轮,开发/测试/运维类,3天前发布,,,today,"企业服务,金融","金融,云计算,大数据,深度学习,自然语言处理",1,全职,1529670279000,22.545687,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.945856,0,,"转正机会,技术创新,发展空间大,最多5个字",3377144,"金融,云计算,大数据,深度学习,自然语言处理",机器学习实习工程师,,4845927,1,100,4k-6k,0,数据开发,深大,1号线/罗宝线,应届毕业生
,深圳,深圳追一科技有限公司,117189,"期权激励,年底双薪,带薪年假,节日礼物",i/image3/M00/21/56/CgpOIFqTvTaAHDX8AAPQG9kRoQk550.jpg,追一科技,150-500人,2018-06-22 17:04:51,0,南山区,不限,,B轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,企业服务",,0,全职,1529666894000,22.546157,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.946882,0,,期权激励,4434989,深度学习,机器学习算法研究员 (MJ000031),,4276394,1,100,30k-60k,0,数据开发,深大,1号线/罗宝线,3-5年
"深圳湾,后海,科技园",深圳,北京真时科技有限公司,207765,,i/image/M00/2B/56/CgpFT1kveW6ADxhuAABCP8k6rTc985.jpg,北京真时科技有限公司,150-500人,2018-06-22 10:55:06,0,南山区,本科,,A轮,开发/测试/运维类,1天前发布,,,disabled,"移动互联网,硬件","体育运动,模式识别,matlab",0,全职,1529649472000,22.524509,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海,113.94276599999999,0,,"扁平化,办公环境好,福利好",4429951,"体育运动,模式识别,matlab",机器学习算法工程师,,7281452,0,0,18k-30k,0,数据开发,科苑,2号线/蛇口线,3-5年
"南头,科技园",深圳,深圳市一面网络技术有限公司,35565,"技能培训,海归精英团队,Geek分享,绩效奖金",i/image/M00/8B/BA/CgqKkVh8ScGAXHRbAAFNeQBTYK0395.png,一面数据,15-50人,2018-06-22 10:24:09,0,南山区,本科,,A轮,开发/测试/运维类,1天前发布,,,disabled,"移动互联网,数据服务",,0,全职,1529633531000,22.540521,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.940008,0,,"大数据领域,人工智能,清华系大牛,技术氛围浓",4286931,"数据分析,Java,python",机器学习算法工程师,,617968,2,100,14k-25k,0,数据开发,深大,1号线/罗宝线,不限
科技园,深圳,腾讯科技(深圳)有限公司,451,"免费班车,成长空间,年度旅游,岗位晋升",image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg,腾讯,2000人以上,2018-06-22 11:33:00,0,南山区,硕士,,上市公司,开发/测试/运维类,1天前发布,,"免费班车,年轻团队,学习机会,Mac办公,定期团建,开工利是红包",disabled,"移动互联网 ,游戏",,0,全职,1529666422000,22.535766,2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.952731,0,,"发展平台,福利待遇",3583174,"资深,算法",机器学习研究员,,7422710,1,100,25k-50k,0,数据开发,深大,2号线/蛇口线,1-3年
