businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
,杭州,北京深睿博联科技有限责任公司,210070,"股票期权,年底双薪,定期体检,弹性工作",i/image2/M00/0D/A9/CgoB5lnkJWSAYr2ZAANTz-qWqkY686.png,深睿医疗,50-150人,2018-06-14 10:43:03,0,余杭区,硕士,,B轮,开发/测试/运维类,2018-06-14,,,today,"移动互联网,医疗健康","医疗健康,图像处理,NLP,算法,深度学习",0,全职,1529660423000,30.27563,,120.002035,0,,"大牛,人性化管理,靠谱团队,技术氛围好",4231406,"医疗健康,图像处理,NLP,算法,深度学习",深度/机器学习实习生,,199235,1,85,10k-20k,0,数据开发,,,不限
西溪,杭州,杭州同花顺数据开发有限公司,205347,,images/logo_default.png,同花顺,2000人以上,2018-06-13 10:59:57,0,余杭区,硕士,,上市公司,开发/测试/运维类,2018-06-13,,,today,"金融,电子商务","金融,深度学习,NLP,人工智能,数据挖掘",0,全职,1529670505000,30.291922999999997,,120.045424,0,,"高智商团队,量化研究,海量数据,福利全",4470406,"金融,深度学习,NLP,人工智能,数据挖掘",机器学习研究员,,7990280,0,0,15k-25k,0,数据开发,,,1-3年
仓前,杭州,同盾科技有限公司,6502,"技能培训,股票期权,绩效奖金,岗位晋升",i/image/M00/15/04/Cgp3O1bqjJSAL_ILAAGd2i3E4lo109.jpg,同盾科技,500-2000人,2018-06-21 11:34:31,0,余杭区,本科,,C轮,产品/需求/项目类,2天前发布,,"试用期上社保,年底双薪,免费下午茶,学习机会,BAT背景,免费体检,Mac办公,定期团建,加班补贴,试用期上公积金,免费健身房,一年调薪2次,打车报销,弹性工作",today,"信息安全,数据服务",,0,全职,1529673883000,30.280276,,120.01799199999999,0,,"大牛云集,机器学习组,大数据,15薪",4450462,数据分析,python开发（机器学习）-杭州-00676,,81793,1,10,10k-20k,0,数据分析,,,3-5年
,杭州,猎鹰在线网络技术(北京)有限公司,6881,"php,js,mysql,html5",image1/M00/00/0E/CgYXBlTUWCeAKcHWAABr9mkOBPc407.jpg,猎鹰网络,500-2000人,2018-06-14 11:35:08,0,西湖区,本科,,未融资,开发/测试/运维类,2018-06-14,,,disabled,"移动互联网,企业服务","金融,电商,广告营销,大数据",0,全职,1529651394000,30.419045,,120.299402,0,,快上市,4056596,"金融,电商,广告营销,大数据",风控/策略算法，机器学习，自然语言处理,,75241,0,50,30k-58k,0,数据开发,,,3-5年
"老余杭,南苑,临平,临平",杭州,杭州天梦科技有限公司,212797,,i/image2/M00/00/0C/CgotOVm6qMiADAUSAABT0zE-JWA806.png,杭州天梦科技有限公司,15-50人,2018-05-24 07:15:14,0,余杭区,硕士,,不需要融资,开发/测试/运维类,2018-05-24,,,threeDays,"数据服务,移动互联网",,0,全职,1529578519000,30.419045,,120.299402,0,,"期权股权,福利优,氛围好,发展空间大",4463122,"数据分析,图像处理,深度学习,计算机视觉",机器学习算法工程师,,8174073,0,0,15K-30K,0,数据开发,,,1-3年
"古墩路,西溪,桂花园",杭州,杭州涂鸦信息技术有限公司,34315,"5星办公环境,年底奖金,团队牛B,五险一金",i/image2/M00/3E/6D/CgoB5lpV4zOAX-j6AAAzuUU4Vn8307.jpg,涂鸦智能,150-500人,2018-06-22 14:07:20,0,西湖区,硕士,,B轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,硬件",,0,全职,1529689972000,29.993662,,119.993591,0,,"氛围轻松,行业前景好,产品优秀,精英团队",3949803,算法,机器学习/深度学习工程师,,587722,1,100,25k-50k,0,数据开发,,,1-3年
仓前,杭州,北京数美时代科技有限公司,82991,"年底双薪,大数据,带薪年假,通讯津贴",i/image/M00/76/C2/CgqKkVg2fVCASEreAABS01Upo_A221.jpg,数美,150-500人,2018-06-22 14:44:57,0,余杭区,本科,,B轮,开发/测试/运维类,1天前发布,,,today,"企业服务,数据服务","金融,广告营销,深度学习,大数据,算法",0,全职,1529671553000,30.27563,,120.002035,0,,"海量数据,顶级团队,大佬领投",4561557,"金融,广告营销,深度学习,大数据,算法",机器学习工程师,,2117266,1,100,25k-50k,0,数据开发,,,1-3年
"西湖,北山,黄龙",杭州,苏州融畅软件科技有限公司,296144,"""""",i/image2/M00/28/73/CgoB5lok9K2APmKqAAAnEr4mPsc057.png,融畅软件,50-150人,2018-06-22 16:51:53,0,西湖区,本科,,未融资,开发/测试/运维类,1天前发布,,,today,移动互联网,,0,全职,1529687075000,30.259324,,120.13020300000001,0,,"薪资待遇高,美女多,破事少,技术大牛多",4760196,"资深,算法,数据分析,Java",机器学习专家 (P5-P9),,10666373,0,0,45k-65k,0,数据开发,,,3-5年
"西溪,西溪",杭州,北京掌众科技有限公司,51649,"技能培训,节日礼物,绩效奖金,年度旅游",i/image2/M01/56/14/CgoB5lsd9auAMNS4AABVHAUxASA985.jpg,掌众集团,500-2000人,2018-06-05 09:27:12,0,西湖区,硕士,,C轮,金融类,2018-06-05,,,today,"移动互联网,金融",,0,全职,1529663270000,30.281044,,120.06917800000001,0,,"福利待遇好,双休,工作环境佳",3587720,"风控,大数据,深度学习",机器学习工程师,,1859504,1,5,22k-44k,0,风控,,,3-5年
"古荡,文三路",杭州,杭州嘉云数据科技有限公司,42868,"海量大数据,世界级产品,AI,智能供应链",i/image3/M00/1C/0A/Cgq2xlqBJlKANw0tAAAVSxrXM9E072.jpg,Club Factory,150-500人,2018-06-22 09:31:35,0,西湖区,本科,,C轮,开发/测试/运维类,1天前发布,,,today,"电子商务,移动互联网",,1,全职,1529688186000,30.277356,2号线_学院路;2号线_古翠路,120.124444,0,,"海量数据,核心业务",3670706,"大数据,数据挖掘,算法,自然语言处理",机器学习工程师 （2018校招）,,806937,1,100,10k-15k,0,数据开发,古翠路,2号线,应届毕业生
