company,education,experience,location,position,salary
百度,本科,3-5年,北京,机器学习算法高级工程师,30k-60k
玖富,本科,3-5年,北京,机器学习算法工程师,25k-45k
品友互动,本科,1-3年,北京,机器学习,10k-20k
赞同科技,本科,1-3年,北京,机器学习 ai,15k-30k
青星教育,本科,1-3年,北京,机器学习,10k-20k
周同科技,本科,3-5年,北京,机器学习,30k-60k
京东金融,本科,3-5年,北京,机器学习算法工程师,20k-40k
去哪儿,本科,1-3年,北京,机器学习,20k-40k
悉见,硕士,3-5年,北京,资深算法工程师（机器学习）,30k-50k
bilibili,本科,3-5年,北京,机器学习系统工程师,25k-50k
今日头条,本科,1-3年,北京,头条实验室算法工程师 - 机器学习,25k-50k
京东金融,本科,3-5年,北京,算法工程师（机器学习/深度学习）,20k-30k
作业帮,本科,1-3年,北京,机器学习,25k-45k
第四范式,本科,不限,北京,机器学习建模实习生,7k-10k
百度,硕士,3-5年,北京,机器学习,40k-80k
北京尚德机构,硕士,5-10年,北京,机器学习/算法/NLP,20k-40k
滴滴出行,不限,不限,北京,机器学习工程师（体验方向）——大数据,25k-50k
行圆汽车,硕士,不限,北京,NLP文本机器学习挖掘算法工程师或实习生,4k-8k
新浪微博,本科,1-3年,北京,微博机器学习研发部门 - 算法工程师,25k-35k
快手,本科,3-5年,北京,机器学习实习生,30k-60k
小象科技,本科,3-5年,北京,机器学习讲师,30k-60k
百度,硕士,不限,北京,百度凤巢_机器学习/数据挖掘工程师,20k-40k
汉克时代,本科,1年以内,北京,机器学习（R语言）,15k-30k
青星教育,本科,1年以内,北京,机器学习,10k-20k
第四范式,本科,3-5年,北京,机器学习算法研究员（语音方向）,30k-45k
达内集团,不限,不限,北京,Python讲师-机器学习方向 (MJ004042),20k-35k
秘塔科技,本科,1年以内,北京,机器学习算法工程师（全职/实习）,18k-30k
第四范式,本科,不限,深圳,机器学习建模,20k-40k
和而泰,硕士,1-3年,深圳,和而泰 419 Lab 机器学习工程师,20k-40k
腾讯,硕士,3-5年,深圳,25923-机器学习平台研发工程师（深圳）,28k-56k
竹信科技,硕士,1-3年,深圳,机器学习工程师,15k-20k
深圳华为,本科,1-3年,深圳,机器学习,15k-24k
华为,本科,1年以内,深圳,机器学习,20k-40k
华为,本科,3-5年,深圳,机器学习,15k-30k
华为,本科,不限,深圳,机器学习,15k-30k
华为技术有限公司,本科,3-5年,深圳,机器学习,40k-80k
华为技术有限公司,本科,1-3年,深圳,机器学习,20k-40k
腾讯,本科,3-5年,深圳,机器学习平台开发工程师,15k-30k
魔数智擎,硕士,应届生,深圳,机器学习算法实习工程师,6k-8k
华为,本科,3-5年,深圳,机器学习,25k-40k
腾讯,硕士,1-3年,深圳,机器学习,15k-30k
蛋壳物联,大专,3-5年,深圳,深度机器学习工程师,15k-30k
碳云智能科技有限公司,本科,5-10年,深圳,机器学习算法工程师,20k-40k
无秘,本科,不限,深圳,机器学习工程师,25k-50k
软通动力公司,本科,1-3年,深圳,机器学习,8k-13k
速腾聚创,硕士,1-3年,深圳,感知算法工程师（机器学习方向）,18k-36k
华为技术有限公司,本科,3-5年,深圳,机器学习,40k-80k
OPPO,本科,3-5年,深圳,高级机器学习算法工程师,25k-50k
华为技术有限公司,本科,不限,深圳,机器学习,25k-50k
腾讯,硕士,1-3年,深圳,机器学习高级工程师,30k-60k
无秘,本科,不限,深圳,机器学习工程师(视频领域相关）,20k-40k
中腾信,本科,1-3年,深圳,机器学习工程师,10k-15k
ebrace,本科,1-3年,深圳,机器学习/深度学习算法工程师,15k-20k
沃金网络,硕士,3-5年,深圳,机器学习算法工程师,25k-38k
追一科技,不限,不限,深圳,机器学习算法研究实习生 (MJ000032),4k-6k
门王国际,本科,1年以内,深圳,机器学习,10k-20k
腾讯,硕士,3-5年,深圳,机器学习,50k-100k
